epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,370.575,0.729,0.49291,0.87828,0.97562,0.99465,0.99365,0.86428,0.63483,0.41267,0.86706,0.00035748,0.00035748,0.00035748
101,374.269,0.6997,0.48207,0.88308,0.97464,0.99518,0.99367,0.87836,0.6207,0.41339,0.86523,0.000355152,0.000355152,0.000355152
102,378.03,0.71263,0.49476,0.92413,0.97575,0.99622,0.99426,0.8755,0.60123,0.39583,0.85573,0.000352824,0.000352824,0.000352824
103,381.715,0.70783,0.56546,0.8823,0.96684,0.99525,0.99445,0.86127,0.64103,0.43382,0.86712,0.000350495,0.000350495,0.000350495
104,385.448,0.67192,0.48801,0.92419,0.9622,0.99639,0.99447,0.86581,0.6314,0.45862,0.87354,0.000348167,0.000348167,0.000348167
105,389.048,0.67453,0.48512,0.89875,0.96927,0.98794,0.99489,0.86825,0.62947,0.44716,0.8713,0.000345838,0.000345838,0.000345838
106,392.747,0.65866,0.46873,0.87986,0.97751,0.98533,0.99489,0.86368,0.73278,0.47352,0.90286,0.00034351,0.00034351,0.00034351
107,396.341,0.6064,0.4245,0.84238,0.9771,0.9916,0.99482,0.86769,0.6924,0.44816,0.88946,0.000341181,0.000341181,0.000341181
108,400.06,0.61011,0.88974,0.79726,0.98014,0.98553,0.99461,0.85602,0.73001,0.43172,0.90226,0.000338853,0.000338853,0.000338853
109,403.902,0.62563,0.4767,0.86961,0.98153,0.99035,0.99468,0.84989,0.64202,0.43062,0.86654,0.000336524,0.000336524,0.000336524
110,407.416,0.58372,0.44491,0.78727,0.98259,0.99387,0.99477,0.85409,0.60489,0.40786,0.85436,0.000334196,0.000334196,0.000334196
111,410.885,0.64261,0.46144,0.87129,0.98499,0.98686,0.99443,0.85793,0.56814,0.39534,0.84382,0.000331867,0.000331867,0.000331867
112,414.386,0.65434,0.44144,0.92899,0.97009,0.99497,0.99381,0.8719,0.52267,0.36674,0.83286,0.000329539,0.000329539,0.000329539
113,418.107,0.55304,0.56386,0.77107,0.96528,0.99526,0.99317,0.84084,0.54194,0.37677,0.83721,0.00032721,0.00032721,0.00032721
114,421.963,0.58576,0.43036,0.79508,0.96953,0.9946,0.99318,0.84674,0.54867,0.3616,0.83967,0.000324882,0.000324882,0.000324882
115,425.783,0.65057,0.44407,0.87281,0.97358,0.9922,0.99318,0.85022,0.53483,0.35758,0.83689,0.000322553,0.000322553,0.000322553
116,429.622,0.67438,0.45671,0.86326,0.97685,0.9898,0.99378,0.86559,0.54434,0.3637,0.84019,0.000320225,0.000320225,0.000320225
117,433.343,0.65994,0.44119,0.85701,0.97548,0.98992,0.99383,0.84859,0.56782,0.38808,0.85061,0.000317896,0.000317896,0.000317896
118,437.101,0.62569,0.44862,0.85185,0.98384,0.99053,0.99372,0.85064,0.55374,0.38048,0.84249,0.000315568,0.000315568,0.000315568
119,440.772,0.63407,0.42977,0.88479,0.98285,0.99447,0.99346,0.86032,0.53869,0.3767,0.83846,0.000313239,0.000313239,0.000313239
